emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,initial_listing_status,disbursement_method,id
finance manager,6,CA,RENT,168000,Verified,13.4,NA,,NA,0,34,2008,6,23,13,132274,65530,0,0,NA,0,0,3,14,3,13,0,0,5,60700,16,10,7,0,95.7,0,0,credit_card,individual,12000,36,10.91,whole,DirectPay,2610
programs servicing specialist ii,10,AZ,RENT,54250,Verified,14.02,NA,,NA,0,47,1994,1,11,6,40352,27220,0,0,47,0,4755,1,5,2,6,0,0,4,22500,5,4,4,0,100,0,0,debt_consolidation,individual,12000,36,11.99,whole,Cash,2611
manager,5,NC,MORTGAGE,51072,Not Verified,31.3,NA,,NA,0,NA,2010,4,11,9,86214,47862,0,0,NA,0,0,2,5,7,9,0,0,4,20800,7,7,7,0,100,0,0,debt_consolidation,individual,12000,36,10.42,whole,Cash,2612
meat manager,10,IN,MORTGAGE,40000,Not Verified,15.78,NA,,NA,0,NA,1999,2,14,9,33300,19157,0,1,NA,0,0,2,5,5,9,0,0,3,18000,8,7,5,2,100,0,1,debt_consolidation,individual,18000,60,21.85,whole,Cash,2613
driver,10,CO,MORTGAGE,64000,Source Verified,21.64,NA,,NA,0,NA,2011,9,20,12,93146,46376,0,0,NA,0,0,2,6,4,12,0,0,1,22000,11,10,3,1,100,0,0,other,individual,1500,36,10.91,whole,Cash,2614
,NA,PA,RENT,20000,Verified,14.65,NA,,NA,0,NA,1990,10,47,15,19700,2191,0,1,NA,0,192,0,11,1,14,0,0,6,13100,47,15,9,0,100,0,1,debt_consolidation,individual,4200,36,10.91,fractional,Cash,2615
service analyst manager,10,IL,MORTGAGE,65000,Source Verified,37.54,NA,,NA,1,20,2001,2,26,11,83665,62355,0,0,48,0,0,2,3,5,11,0,0,7,19000,13,9,9,3,69.2,0,0,credit_card,individual,16800,36,12.61,whole,Cash,2616
,NA,WV,OWN,15599,Verified,10.08,NA,,NA,0,62,1977,0,10,5,4400,3457,0,0,75,0,0,0,1,NA,5,0,0,2,3300,9,5,3,1,70,0,0,debt_consolidation,individual,4000,36,13.58,fractional,Cash,2617
firefighter/emt,5,WA,RENT,84500,Not Verified,17.24,NA,,NA,1,14,2013,0,8,6,58023,31248,0,0,NA,0,270,2,0,NA,6,0,0,3,12300,5,4,3,0,87.5,0,0,other,individual,20000,36,11.99,fractional,Cash,2618
modeler,1,NV,RENT,25000,Source Verified,1.65,NA,,NA,0,NA,2004,1,4,3,1600,244,0,0,NA,0,0,0,3,12,3,0,0,1,500,3,3,2,0,100,0,0,major_purchase,individual,10000,60,12.61,whole,Cash,2619
animal groomer,2,IN,MORTGAGE,64000,Not Verified,28.91,NA,,NA,0,NA,2004,3,18,16,224708,51598,0,0,NA,0,0,5,6,2,16,0,0,1,11600,10,10,4,1,100,0,0,debt_consolidation,individual,2000,36,10.42,whole,Cash,2620
service tech,10,OK,MORTGAGE,90000,Verified,15.37,NA,,NA,1,10,1995,4,15,9,270246,137687,0,0,10,0,0,3,2,4,9,0,0,1,10500,6,5,2,5,93.3,0,0,debt_consolidation,individual,20000,36,10.42,whole,Cash,2621
director of public works,2,PA,MORTGAGE,82000,Source Verified,29.82,NA,,NA,0,NA,2010,4,27,21,151358,94752,0,1,NA,0,0,2,8,0,21,0,0,10,34500,20,19,16,0,100,0,1,debt_consolidation,individual,37000,60,13.58,whole,DirectPay,2622
financial management,10,MD,MORTGAGE,103000,Source Verified,17.35,226000,Source Verified,16.01,0,58,2003,9,23,15,642952,49118,0,2,NA,0,0,1,10,1,15,0,0,3,19300,18,13,8,1,95.7,2,0,debt_consolidation,joint,35000,36,18.06,fractional,Cash,2623
cashier ,2,PA,RENT,18000,Source Verified,25.33,NA,,NA,0,62,2000,1,25,18,46625,8815,0,0,62,0,0,2,8,9,18,0,0,1,15500,22,16,4,0,91.3,0,0,debt_consolidation,individual,8500,36,12.61,whole,Cash,2624
traffic manager,10,NY,RENT,105000,Source Verified,1.85,NA,,NA,0,NA,1991,1,7,5,32700,2679,0,0,NA,0,0,0,2,7,5,0,0,1,8000,6,5,4,0,100,0,0,debt_consolidation,individual,15000,36,7.34,whole,Cash,2625
tool and die maker,10,PA,MORTGAGE,98000,Source Verified,23.6,NA,,NA,0,71,2005,1,31,14,276556,72331,0,0,NA,0,243,4,2,7,14,0,0,4,13700,13,9,7,2,96.6,0,0,debt_consolidation,individual,20000,60,24.85,whole,Cash,2626
teacher,10,MA,MORTGAGE,75000,Source Verified,28.45,210000,Source Verified,23.46,0,NA,2001,2,32,19,594937,53224,0,0,NA,0,0,3,8,1,19,0,0,6,49300,18,14,8,4,100,0,0,debt_consolidation,joint,35000,60,11.99,whole,Cash,2627
technical lead,2,NJ,MORTGAGE,104000,Source Verified,7.02,NA,,NA,0,NA,2011,0,15,9,283095,24850,0,0,NA,0,0,2,2,NA,9,0,0,4,32700,10,6,4,1,100,0,0,debt_consolidation,individual,40000,60,9.44,whole,Cash,2628
,NA,TN,OWN,108000,Source Verified,14.66,NA,,NA,0,NA,2003,4,45,35,275050,50704,0,0,NA,0,0,0,17,2,35,0,0,21,163900,37,33,22,2,100,0,0,credit_card,individual,24000,60,9.44,whole,Cash,2629
sheriff deputy,10,MN,MORTGAGE,67000,Source Verified,22.14,NA,,NA,0,61,2002,2,36,19,435701,84690,0,0,NA,0,0,3,8,5,19,0,0,2,25500,21,14,5,5,97.2,0,0,debt_consolidation,individual,6000,36,7.96,whole,Cash,2630
dental hygienist,0,TX,RENT,35000,Source Verified,17.42,NA,,NA,0,NA,2009,2,15,11,106233,34328,0,0,NA,0,0,4,7,5,11,0,0,0,69900,7,7,0,1,100,0,0,major_purchase,individual,13000,60,9.44,whole,Cash,2631
paralegal,0,NY,RENT,36000,Source Verified,26.83,NA,,NA,0,NA,2013,0,13,13,49148,25753,0,0,NA,0,0,2,5,17,13,0,0,5,21300,11,11,5,0,100,0,0,debt_consolidation,individual,10000,36,10.42,fractional,Cash,2632
owner,5,NY,MORTGAGE,35000,Source Verified,31.68,NA,,NA,0,NA,1997,0,8,6,53185,39079,0,0,NA,0,0,1,3,18,6,0,0,4,20300,5,4,4,0,100,0,0,major_purchase,individual,7000,36,18.45,whole,Cash,2633
cna,2,CT,RENT,65000,Source Verified,19.58,105000,Not Verified,17.48,0,NA,2006,3,34,14,92847,48378,0,0,NA,0,0,3,3,0,14,0,0,4,21400,20,11,6,0,100,0,0,debt_consolidation,joint,21000,60,14.07,whole,Cash,2634
sr commercial account manager,10,TX,MORTGAGE,96000,Source Verified,23.77,NA,,NA,0,NA,1991,1,16,12,117190,33552,0,0,NA,0,0,3,2,2,12,0,0,5,51600,9,8,6,1,100,0,0,debt_consolidation,individual,37200,36,9.44,whole,Cash,2635
,NA,GA,MORTGAGE,40000,Verified,16.38,NA,,NA,0,NA,2009,0,20,11,121572,17516,0,0,NA,0,0,0,8,NA,11,0,0,2,7000,10,10,7,8,100,0,0,debt_consolidation,individual,8000,36,9.92,whole,Cash,2636
vice president ocean services,1,IL,MORTGAGE,250000,Not Verified,16.78,NA,,NA,0,NA,1995,6,37,17,618071,122516,0,0,NA,0,0,5,6,4,17,0,0,4,153100,18,11,5,4,100,0,0,debt_consolidation,individual,10000,60,9.44,whole,Cash,2637
oral maxillofacial surgeon ,9,NY,MORTGAGE,275000,Not Verified,1.48,NA,,NA,0,NA,2001,0,22,8,218147,12651,0,0,NA,0,0,0,0,22,8,0,0,3,44700,9,7,3,3,100,0,0,debt_consolidation,individual,40000,60,9.44,whole,Cash,2638
director of quality,10,GA,MORTGAGE,205000,Not Verified,13.59,NA,,NA,0,29,1999,4,27,18,446549,72205,0,0,NA,0,0,4,7,9,18,0,0,6,68900,14,13,10,4,92.6,0,0,debt_consolidation,individual,18000,36,5.31,whole,Cash,2639
attorney/member,2,PA,OWN,90000,Source Verified,23.29,175000,Source Verified,25.46,1,8,2003,0,52,24,415082,177084,0,0,65,0,0,18,1,21,24,0,0,2,8300,11,5,2,1,89.8,0,0,debt_consolidation,joint,30000,60,15.05,whole,Cash,2640
director ,5,NY,OWN,140000,Not Verified,24.34,475000,Not Verified,18.3,0,29,1998,1,56,20,261925,169085,0,0,NA,0,0,5,11,6,20,0,0,8,133900,23,15,8,0,98.2,0,0,debt_consolidation,joint,40000,36,6.08,whole,Cash,2641
instructor,9,FL,MORTGAGE,50000,Not Verified,17.88,169000,Not Verified,12.01,1,4,2004,7,15,8,541153,37410,0,0,4,0,0,1,3,1,8,0,0,3,2000,4,4,4,8,53.3,0,0,major_purchase,joint,8000,36,13.58,whole,Cash,2642
truck driver,10,VT,OWN,39000,Verified,47.36,107000,Source Verified,18.65,0,28,2005,0,27,8,74981,54855,0,0,48,0,3357,2,4,15,8,0,0,3,10000,14,6,4,0,74.1,0,0,debt_consolidation,joint,20000,36,10.91,whole,Cash,2643
sales engineering manager,10,IL,RENT,225000,Not Verified,5.13,NA,,NA,0,NA,2000,4,16,10,169212,58112,0,0,NA,0,0,3,4,1,10,0,0,4,93500,11,7,6,0,100,0,0,debt_consolidation,individual,8000,36,5.32,whole,Cash,2644
,NA,NY,RENT,33000,Verified,10.62,66000,Verified,33,0,NA,2000,0,6,2,106400,13978,0,0,NA,0,0,0,1,NA,2,0,0,1,16400,4,1,1,2,100,0,0,debt_consolidation,joint,15000,36,20.39,whole,Cash,2645
driver ,10,TX,RENT,55000,Source Verified,13.07,NA,,NA,0,36,2009,0,12,3,22000,13235,0,0,NA,0,0,1,2,13,3,0,0,1,8000,3,2,1,0,83.3,0,0,debt_consolidation,individual,11200,36,11.99,fractional,Cash,2646
general manager,10,MI,MORTGAGE,72000,Source Verified,20.94,NA,,NA,0,NA,2006,4,34,17,171812,45896,0,0,NA,0,0,2,2,10,17,0,0,8,50100,19,14,9,1,100,0,0,debt_consolidation,individual,20000,36,16.02,fractional,Cash,2647
owner ,9,TX,MORTGAGE,45000,Source Verified,9.28,NA,,NA,0,63,2004,1,8,6,23100,7144,0,0,63,0,0,1,4,2,6,0,0,2,15000,5,4,2,0,100,0,0,debt_consolidation,individual,20000,60,14.08,whole,Cash,2648
print operator,3,TX,RENT,40000,Source Verified,18.27,NA,,NA,0,84,2005,1,12,11,31930,9609,0,0,84,0,192,1,6,11,11,0,0,3,16300,9,9,4,0,91.7,0,0,debt_consolidation,individual,10000,36,13.58,whole,Cash,2649
foreman,10,NY,MORTGAGE,110000,Not Verified,6.78,NA,,NA,0,NA,2011,1,8,6,112380,18915,0,0,NA,0,0,1,3,3,6,0,0,3,20300,4,4,4,1,100,0,0,credit_card,individual,10000,36,6.72,whole,Cash,2650
,NA,VA,MORTGAGE,25000,Source Verified,71.53,85000,Source Verified,31.6,0,NA,1987,0,17,5,127709,47889,0,1,NA,0,0,2,0,NA,5,0,0,2,4200,9,3,2,1,100,0,1,other,joint,6000,36,11.99,fractional,Cash,2651
,NA,NY,MORTGAGE,52680,Verified,23.51,71978,Verified,21.34,0,NA,1972,5,31,11,288670,42667,0,0,NA,0,0,2,9,5,11,0,0,5,24700,15,8,7,6,100,0,0,debt_consolidation,joint,19950,60,30.17,whole,Cash,2652
owner,10,MA,MORTGAGE,60000,Not Verified,11.36,90000,Not Verified,11.1,4,14,1985,6,28,9,555163,16501,1,0,17,0,0,1,4,0,9,0,0,3,9800,15,6,3,7,70.4,0,0,debt_consolidation,joint,8425,36,17.09,fractional,Cash,2653
environmental service,2,OH,RENT,80000,Not Verified,15.84,125000,Not Verified,11,0,31,2007,4,32,22,99433,63686,0,1,76,0,0,2,5,6,22,0,0,3,16400,25,20,15,0,90.3,0,1,credit_card,joint,10000,36,17.09,whole,Cash,2654
driver,4,NY,RENT,50000,Not Verified,15.7,NA,,NA,0,NA,2011,0,6,5,42736,20049,0,0,NA,0,0,1,0,NA,5,0,0,3,28100,5,4,3,0,100,0,0,credit_card,individual,16000,36,7.35,whole,Cash,2655
truck driver,0,PA,MORTGAGE,81800,Source Verified,28.63,NA,,NA,0,NA,2005,9,30,20,185920,55245,0,0,NA,0,0,4,11,0,20,0,0,11,36500,17,15,14,2,100,0,0,debt_consolidation,individual,40000,36,10.41,fractional,Cash,2656
certified pharmacy tech,2,VA,MORTGAGE,48000,Verified,24.53,NA,,NA,0,NA,2007,0,8,7,47209,35193,0,0,NA,0,0,2,3,21,7,0,0,2,2900,5,5,5,0,100,0,0,debt_consolidation,individual,9000,36,21.85,fractional,Cash,2657
contracts manager,4,MD,RENT,102900,Source Verified,14.72,NA,,NA,0,NA,1998,0,30,15,146750,81937,0,0,NA,0,0,2,6,22,15,0,0,3,28600,16,11,6,0,100,0,0,debt_consolidation,individual,6000,36,6.08,whole,Cash,2658
operations manager,10,CA,MORTGAGE,160000,Not Verified,6.03,NA,,NA,0,47,1993,5,25,6,674708,31273,0,0,NA,0,614,1,1,4,6,0,0,2,18500,14,4,2,4,96,0,0,debt_consolidation,individual,20000,60,9.93,whole,Cash,2659
svp operations ,10,AR,MORTGAGE,260000,Source Verified,7.85,NA,,NA,0,27,1995,1,36,19,231949,56102,0,0,45,0,0,4,6,8,19,0,0,4,43500,22,13,6,4,80.6,0,0,debt_consolidation,individual,32000,36,6.72,whole,Cash,2660
teacher,10,TX,RENT,54000,Source Verified,18.2,NA,,NA,0,78,2000,9,37,10,109675,81948,0,1,78,0,0,2,8,1,10,0,0,4,20900,14,8,7,0,94.4,0,1,debt_consolidation,individual,12000,36,9.44,whole,Cash,2661
superintended,10,TX,MORTGAGE,72000,Verified,20.08,NA,,NA,1,6,2006,2,16,6,151615,44344,0,0,48,0,0,2,10,12,6,0,0,1,5800,3,3,2,3,85.7,0,0,home_improvement,individual,5000,36,22.91,fractional,Cash,2662
,NA,IL,RENT,60000,Verified,36.71,NA,,NA,0,44,1983,4,46,25,79789,49818,0,0,NA,0,0,4,7,3,25,0,0,11,20600,22,19,15,0,95.7,0,0,debt_consolidation,individual,6000,36,13.58,fractional,Cash,2663
truck driver,3,CA,RENT,49000,Source Verified,28.02,NA,,NA,0,NA,1998,4,15,10,92175,51727,0,1,NA,0,0,4,9,1,10,0,0,3,20200,10,6,5,0,100,0,1,debt_consolidation,individual,11000,60,16.01,whole,Cash,2664
physician,0,MD,MORTGAGE,260000,Source Verified,9.08,NA,,NA,1,16,2006,1,24,10,622144,73904,0,0,NA,0,0,2,1,11,10,0,0,2,11600,14,7,4,3,87,0,0,major_purchase,individual,20000,60,15.05,whole,Cash,2665
rn,3,CA,RENT,780000,Source Verified,1.58,NA,,NA,0,NA,2002,1,21,9,92084,60568,0,0,NA,0,0,1,5,3,9,0,0,4,30500,17,8,6,1,100,0,0,medical,individual,1000,36,10.41,whole,Cash,2666
automation engineer,2,MA,RENT,115200,Source Verified,10.37,160200,Source Verified,9.74,0,NA,2013,11,29,26,168959,51843,0,0,NA,0,0,1,21,2,26,0,0,9,109300,26,25,9,0,100,0,0,credit_card,joint,20000,36,7.97,whole,Cash,2667
lvn,3,CA,MORTGAGE,65000,Verified,5.58,NA,,NA,0,NA,2007,2,12,9,353047,17405,0,0,NA,0,0,4,4,6,9,0,0,1,39000,6,4,1,1,100,0,0,other,individual,6400,36,6.08,whole,Cash,2668
captain,9,OR,MORTGAGE,92000,Not Verified,18.81,NA,,NA,0,NA,2007,1,23,21,253415,74821,0,0,NA,0,0,6,9,10,21,0,0,13,34800,14,14,14,1,100,0,0,home_improvement,individual,12500,60,24.85,whole,Cash,2669
truck driver,0,OR,RENT,50000,Verified,23.72,NA,,NA,0,NA,2007,0,20,8,56512,39394,0,0,NA,0,0,4,6,13,8,0,0,2,5500,4,4,4,0,100,0,0,debt_consolidation,individual,30000,60,18.45,whole,Cash,2670
engineering project manager,10,IN,MORTGAGE,150000,Verified,21.93,NA,,NA,0,NA,1988,1,37,23,466926,93823,0,0,NA,0,0,8,3,11,23,0,0,5,132100,24,14,6,3,100,0,0,credit_card,individual,40000,36,7.34,whole,Cash,2671
senior electronics technician,10,KS,MORTGAGE,69900,Source Verified,36.1,NA,,NA,0,35,2001,2,27,8,135682,80087,0,0,NA,0,0,4,3,6,8,0,0,4,33400,10,4,4,0,96.3,0,0,credit_card,individual,6000,36,14.07,whole,Cash,2672
showroom manager,2,NY,MORTGAGE,90000,Verified,17.41,NA,,NA,1,4,2009,3,13,12,88768,32763,0,0,NA,0,0,3,4,1,12,NA,0,5,21050,8,8,5,0,92,0,0,home_improvement,individual,10000,60,20.39,whole,Cash,2673
flight dispatcher ,3,TX,MORTGAGE,102000,Not Verified,28.68,NA,,NA,0,NA,2005,2,28,14,368610,78912,0,0,NA,0,0,6,3,9,14,0,0,3,28800,13,7,3,1,100,0,0,debt_consolidation,individual,14000,36,10.9,whole,Cash,2674
,NA,KY,RENT,11150,Verified,119.48,157150,Verified,28.73,0,NA,1997,0,7,6,40500,39452,0,0,NA,0,0,0,0,NA,6,0,0,4,31400,6,6,6,0,100,0,0,debt_consolidation,joint,24000,60,19.03,whole,Cash,2675
vice president emergency services ,4,AR,MORTGAGE,106000,Not Verified,18.67,NA,,NA,0,52,1998,3,52,23,344324,109982,0,0,52,0,10266,2,10,3,23,0,0,3,24300,36,20,8,5,92.3,0,0,home_improvement,individual,5500,36,10.9,whole,Cash,2676
nurse manager,4,CA,MORTGAGE,124800,Source Verified,14.17,NA,,NA,0,49,1994,3,32,21,490397,74450,0,0,82,0,0,8,7,5,21,0,0,8,21100,15,12,10,2,93.8,0,0,credit_card,individual,40000,36,10.9,whole,Cash,2677
owner,10,VA,OWN,45000,Not Verified,16.43,74120,Not Verified,18.29,0,NA,2001,0,9,2,42173,27684,0,1,NA,0,0,1,0,17,2,0,0,1,2500,5,1,1,2,100,0,1,debt_consolidation,joint,6000,36,9.44,whole,Cash,2678
alternative marketing,10,OH,MORTGAGE,92000,Source Verified,29.21,119000,Source Verified,22.9,0,NA,2001,1,37,23,246793,93875,0,0,NA,0,0,7,9,10,23,0,0,8,54400,16,15,11,3,100,0,0,debt_consolidation,joint,19500,36,15.04,whole,Cash,2679
sales,2,SC,RENT,375000,Not Verified,7.04,NA,,NA,0,61,2006,0,11,4,115778,84991,1,0,61,0,84,2,0,20,4,0,0,1,30000,4,2,1,1,100,0,0,small_business,individual,40000,36,9.44,whole,Cash,2680
welder fabricator,10,AL,MORTGAGE,70000,Verified,13.81,NA,,NA,0,NA,2005,8,17,7,60517,33611,0,3,NA,0,0,2,3,12,7,0,0,3,27600,7,5,3,0,100,3,0,debt_consolidation,individual,11000,36,9.93,fractional,Cash,2681
driver/operator,10,VA,RENT,61000,Not Verified,14.7,NA,,NA,0,80,2003,0,18,10,47642,21256,0,0,80,0,0,3,6,22,10,0,0,4,13000,11,7,4,0,100,0,0,debt_consolidation,individual,1000,36,6.72,fractional,Cash,2682
shuttle driver,5,NV,MORTGAGE,40000,Source Verified,11.55,NA,,NA,0,NA,2000,7,11,9,22124,13802,0,0,NA,0,0,1,9,0,9,0,0,2,6100,10,8,3,0,100,0,0,credit_card,individual,8000,36,13.59,whole,Cash,2683
designer,3,SC,MORTGAGE,60000,Source Verified,18.42,NA,,NA,0,37,2007,5,25,13,240113,123983,0,0,NA,0,0,4,6,1,13,0,0,3,29500,10,8,4,1,95.5,0,0,debt_consolidation,individual,26400,36,9.44,fractional,Cash,2684
learning strategist,8,NV,MORTGAGE,48000,Not Verified,15.23,NA,,NA,0,32,1998,0,48,17,75207,105444,0,0,32,0,0,13,3,NA,17,0,0,2,2400,4,4,3,0,58.1,0,0,debt_consolidation,individual,5000,36,18.06,whole,Cash,2685
,NA,GA,RENT,25000,Not Verified,22.52,NA,,NA,1,15,2005,0,14,11,46874,28670,0,0,NA,0,0,1,6,24,11,0,0,7,14400,12,10,9,0,92.9,0,0,debt_consolidation,individual,7500,36,9.92,whole,Cash,2686
,NA,CA,MORTGAGE,12300,Verified,45.37,98300,Verified,39.78,0,26,1973,0,10,7,28441,16604,0,0,26,0,0,1,3,15,7,0,0,2,5400,8,6,6,1,90,0,0,credit_card,joint,12000,36,7.34,whole,Cash,2687
project engineer,3,NY,RENT,77000,Not Verified,20.68,NA,,NA,0,NA,1997,0,25,9,91755,102353,0,1,NA,0,1273,5,3,17,9,0,0,2,3100,7,4,3,0,100,0,1,debt_consolidation,individual,25000,60,26.3,whole,Cash,2688
captain,10,CA,MORTGAGE,135000,Not Verified,14.05,NA,,NA,0,NA,2005,1,36,11,600946,74808,0,1,NA,0,0,3,7,12,11,0,0,3,14900,10,7,4,8,100,0,1,debt_consolidation,individual,40000,60,10.9,whole,Cash,2689
,NA,LA,MORTGAGE,27000,Verified,148.04,187000,Verified,23.33,1,7,1993,1,35,20,367272,139010,0,0,NA,0,0,6,4,1,20,0,0,6,29800,21,13,10,3,88.2,0,0,credit_card,joint,25000,60,14.08,whole,Cash,2690
engineering specialist,10,MD,MORTGAGE,133000,Source Verified,20.86,NA,,NA,0,NA,2006,4,26,9,369146,102943,0,0,NA,0,0,3,4,3,9,0,0,0,7200,13,4,0,2,100,0,0,other,individual,32000,60,15.05,whole,Cash,2691
executive director,3,WA,MORTGAGE,130000,Not Verified,27.48,NA,,NA,0,NA,2006,5,27,18,177642,149256,0,0,NA,0,0,4,6,3,18,0,0,8,56700,18,14,9,0,100,0,0,credit_card,individual,30000,60,13.59,whole,DirectPay,2692
shift manager,10,CT,MORTGAGE,80000,Verified,5.52,NA,,NA,0,NA,2007,0,6,6,22425,8390,0,0,NA,0,0,1,1,14,6,0,0,4,5200,4,4,4,1,100,0,0,home_improvement,individual,30000,36,12.62,fractional,Cash,2693
large format printing lead,3,NY,RENT,35500,Not Verified,16.93,NA,,NA,0,82,2007,0,14,10,53495,42709,0,0,82,0,0,3,5,18,10,0,0,4,8600,8,7,6,0,92.9,0,0,debt_consolidation,individual,3300,36,11.99,whole,Cash,2694
ramen chef,3,WA,RENT,35000,Source Verified,8.78,NA,,NA,0,NA,2013,1,3,3,19400,7326,0,0,NA,0,0,1,1,6,3,0,0,1,14400,2,2,1,0,100,0,0,other,individual,10000,60,14.08,whole,Cash,2695
general manager,1,FL,RENT,300000,Not Verified,8.68,NA,,NA,0,57,1987,2,45,17,1016281,51220,0,0,113,0,0,1,10,10,17,0,0,4,22800,19,11,9,6,95.6,0,0,debt_consolidation,individual,20000,36,6.71,whole,Cash,2696
educator ,9,AL,RENT,54000,Source Verified,23.6,NA,,NA,0,36,2003,12,59,13,400038,176764,0,1,37,0,0,2,18,1,12,0,0,1,11700,40,9,2,2,86.4,0,1,debt_consolidation,individual,6000,36,10.91,whole,DirectPay,2697
security analyst,1,KS,RENT,85000,Source Verified,17.13,NA,,NA,0,71,2008,1,11,7,58488,28471,0,0,NA,0,493,2,3,7,7,0,0,2,10500,4,4,4,0,90.9,0,0,other,individual,12000,36,21.85,fractional,Cash,2698
property manger,9,GA,RENT,70000,Source Verified,22.99,NA,,NA,1,12,2006,0,15,14,54900,31735,0,1,NA,0,0,2,3,17,14,0,0,7,13900,12,12,10,1,93.3,1,0,debt_consolidation,individual,16000,36,21.45,fractional,Cash,2699
rural carrier,10,GA,MORTGAGE,75000,Source Verified,20.46,NA,,NA,2,2,1995,1,36,15,292049,54601,0,0,31,0,0,1,7,12,15,0,0,4,15400,26,13,9,2,75,0,0,debt_consolidation,individual,16800,36,10.91,fractional,Cash,2700
storeroom attendant,2,CA,RENT,35000,Source Verified,26.58,NA,,NA,0,NA,2005,1,16,10,36114,17532,0,0,NA,0,0,1,2,5,10,0,0,3,13400,13,8,3,0,100,0,0,debt_consolidation,individual,10000,36,6.08,whole,DirectPay,2701
executive,10,MO,MORTGAGE,200000,Source Verified,16.96,NA,,NA,0,NA,1996,1,22,11,319271,162435,0,0,NA,0,0,4,5,8,11,0,0,6,69900,11,6,6,2,100,0,0,debt_consolidation,individual,30000,36,19.03,fractional,Cash,2702
account manager,6,MN,MORTGAGE,74000,Source Verified,21.9,NA,,NA,0,NA,1998,1,10,8,317711,46803,0,0,NA,0,0,2,4,8,8,0,0,4,33500,6,5,4,1,100,0,0,home_improvement,individual,2200,36,12.61,fractional,Cash,2703
maintenance mechanic,0,PA,MORTGAGE,66900,Verified,20.66,NA,,NA,0,NA,1991,1,21,14,235200,54514,0,0,NA,0,0,0,4,7,14,0,0,7,69900,17,13,9,2,100,0,0,credit_card,individual,40000,36,6.08,whole,DirectPay,2704
secretary,10,MI,OWN,25800,Verified,22,NA,,NA,0,27,1986,2,33,16,23600,7667,0,0,67,0,1629,0,6,2,16,0,0,5,17100,33,16,14,0,66.7,0,0,debt_consolidation,individual,5000,36,12.61,whole,Cash,2705
at3,3,CA,RENT,46556,Not Verified,4.8,NA,,NA,0,26,2014,3,7,7,10400,6110,0,0,NA,0,0,0,4,2,7,0,0,0,500,7,7,2,0,85.7,0,0,debt_consolidation,individual,10000,36,12.61,fractional,Cash,2706
mechanic,9,MN,MORTGAGE,60000,Verified,63.45,181000,,24.83,0,NA,1992,2,39,16,600379,120779,0,0,NA,0,0,4,3,6,16,0,0,5,105400,19,9,7,6,100,0,0,debt_consolidation,joint,35000,60,6.71,whole,DirectPay,2707
bank coordinator,2,CA,RENT,53592,Source Verified,7.1,NA,,NA,0,NA,2009,0,6,4,42499,10466,2,0,NA,0,3943,1,1,14,4,0,0,1,18800,3,3,2,1,100,0,0,other,individual,30000,36,12.61,whole,Cash,2708
accountant,2,TX,RENT,47700,Not Verified,7.68,67700,Not Verified,10.06,0,NA,2013,2,14,13,38500,21242,0,0,NA,0,0,6,5,2,13,0,0,2,7800,7,7,3,0,100,0,0,debt_consolidation,joint,10000,36,10.9,whole,Cash,2709
doo,3,GA,MORTGAGE,90000,Not Verified,10.4,NA,,NA,0,45,2003,4,28,20,222489,74455,0,3,45,0,0,12,8,8,20,0,0,2,10600,8,7,3,2,88.9,2,1,debt_consolidation,individual,8400,36,13.59,fractional,Cash,2710
receptionist ,6,PA,OWN,30000,Source Verified,34.05,NA,,NA,0,79,2008,2,26,14,43845,28211,0,0,79,0,0,8,5,11,14,0,0,3,9800,11,6,5,0,96.2,0,0,credit_card,individual,9000,36,13.59,fractional,Cash,2711
math teacher,2,AZ,RENT,41524,Not Verified,21.38,NA,,NA,1,15,2005,2,60,11,146630,148535,0,0,15,0,0,7,13,7,10,0,0,2,2200,12,4,3,0,94,0,0,moving,individual,1000,36,17.09,whole,Cash,2712
gs-6,4,VA,MORTGAGE,82000,Source Verified,24.53,NA,,NA,0,NA,1990,2,27,12,70417,44603,0,1,NA,0,0,4,3,9,12,0,0,3,8100,15,8,5,0,100,0,1,debt_consolidation,individual,35000,36,16.02,whole,Cash,2713
senior publicist,0,CA,RENT,70000,Not Verified,15.29,NA,,NA,0,NA,1987,1,22,8,96800,30135,0,0,NA,0,0,1,1,11,8,0,0,4,79600,11,7,5,0,100,0,0,debt_consolidation,individual,15000,36,5.31,whole,Cash,2714
office specialist ii,6,TX,MORTGAGE,22568,Verified,57.66,120328,Verified,22.61,1,18,2005,0,14,9,215257,39720,0,0,18,0,0,1,3,NA,9,0,0,2,11100,8,7,2,1,92.9,0,0,debt_consolidation,joint,40000,60,16.01,whole,Cash,2715
